Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Poland,POL,..,27.1883262545709,42.3942230351554,44.2514731046751,46.0026088160493,47.2196834583496,49.0912280857603,51.9248591484674,54.1610234014378,55.2414620408144,55.5352492287141,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Portugal,PRT,29.1691775307804,28.2046205938904,34.4548615994609,37.7780148210557,39.6065049729616,40.2159680026703,40.6151154462762,40.2108236358286,42.7242663980773,43.4457190264876,43.5054803083081,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Puerto Rico,PRI,63.0814635210608,62.341293122729,64.0527265606861,57.4524835376036,60.8666666666667,60.8186963252764,67.198764504162,68.7602732307999,68.723047401772,59.9859972133068,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Qatar,QAT,..,67.2833585991399,72.619709146881,76.4724190761947,72.7178350198088,67.9981181342453,57.061477766293,47.7138414943703,52.8894226316896,55.9418631732842,52.3472678757627,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Romania,ROU,16.726891246066,21.58888431382,37.0550979718903,37.5318245668167,40.0340615697363,41.4272337371785,41.3851279458834,41.7762791321969,42.0246190766547,41.8616969020051,40.3512652160326,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Russian Federation,RUS,18.1620614715927,44.0604413055146,28.0553614798549,26.9073203393663,25.845336826255,27.1110970517525,28.703389442924,25.8544829769167,26.0908809797568,30.5167944826321,28.3130433518316,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Rwanda,RWA,5.61460915538142,5.4465466217842,12.5107789803351,11.8366261110546,13.3051511996195,13.7201491442347,13.1249717549392,15.452250334383,20.5283852817577,21.1419025957765,21.8191635936645,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Samoa,WSM,..,..,28.6515247494877,28.3940180040898,28.878742882963,29.0423124349624,28.3753331744583,30.3819616449329,31.5404528900758,34.8171727053355,37.1268797695939,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,San Marino,SMR,..,..,..,..,..,..,174.452680954757,173.068169220566,168.778681335859,166.597497668983,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Saudi Arabia,SAU,40.3347940771071,43.4052706592712,56.0492397320162,54.2708404972085,51.9179576050307,46.8752915122045,33.3211712413659,31.1442093928951,34.8530548562641,40.0391406237309,36.0494170525859,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Senegal,SEN,25.4105358069405,27.9251163321945,21.1858372002273,22.2566508105287,22.1957496213081,21.7782967413225,22.6771945016724,21.5608580962682,21.9300831477167,23.014755749472,22.7926260600831,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Serbia,SRB,..,8.78303735272921,33.0018249483579,35.8448069778677,39.8515049086914,42.0775289604243,45.1772418040017,48.5170935445558,50.4715286434326,50.4345612977047,51.0497865995374,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Seychelles,SYC,15.3273854913324,75.4732018330345,95.7690959381631,99.3293601451528,90.8113046867575,88.0123586712212,81.0912580145093,80.7317762697403,88.6355242837111,84.1033811447278,80.3204594196916,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sierra Leone,SLE,34.6898949037465,18.1348435554968,16.2666933861058,32.9053270557266,28.6267570505227,30.7600393800619,19.3625445264294,24.9140932574707,26.051347364045,17.4672993262746,15.9897782664811,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Singapore,SGP,177.192544433931,188.350890284751,203.327708649538,196.719612875759,195.077796338143,191.953535787505,178.384608499682,165.093992024864,170.705375433905,177.683180133621,173.517266760671,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sint Maarten (Dutch part),SXM,..,..,109.948675101456,113.294044313481,121.348989623157,100.529385374607,97.4008024966563,92.4977895667551,78.2747304266292,67.483506126296,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovak Republic,SVK,23.8134842229012,53.205468406987,84.9075350901021,90.9221018613518,93.4972605723115,91.5015850507224,92.0120877704125,93.712186618535,95.1582740828284,96.2171545066736,92.4368426855467,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovenia,SVN,..,50.1351765505999,70.2471458085713,72.891588930235,74.2164751718266,76.1517421398548,77.1486782584484,77.5981668322775,83.1274937002328,84.7956132789962,83.7432190751837,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Solomon Islands,SLB,43.7072243346008,24.4230769230769,51.6201919481491,53.333595890411,46.5478712290801,44.5569898477157,39.8187491541808,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Somalia,SOM,9.78674718576036,..,..,..,24.2164219979506,23.8348327792385,25.6359529992501,25.4184711232679,22.0530806267041,23.7137457843526,22.6687373928933,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Africa,ZAF,23.4949209120617,27.1588800453122,30.4609405932431,29.7238793583952,30.9713411232732,31.4686452082634,30.152888329641,30.5809279982381,29.6276693701772,29.9070826047072,29.8538392770199,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,South Sudan,SSD,..,..,66.0761203752424,42.8320523585268,9.74075785850552,38.3916172930278,36.6513492804707,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Spain,ESP,15.7247981570607,28.5633579326111,29.5349622049272,31.45527248111,32.9625774735678,33.4825675913959,33.6265184346551,33.8800904977376,35.1494620296471,35.1471175620162,34.8928157124357,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sri Lanka,LKA,30.1808045148298,39.015700886425,20.8968387282014,19.8164817811519,20.3203983024553,21.088762290753,21.013103191359,21.1739837919769,21.8314652805429,22.9179322044009,23.1240272472391,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,St. Vincent and the Grenadines,VCT,54.1536931179997,45.2768874864392,27.0362356550081,27.1743313450067,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sudan,SDN,4.02138910265514,15.9845570577283,17.5676052023282,9.21931039015993,8.84064608536098,8.14924834763789,8.18218778358553,9.82885176193902,9.58052568492731,7.91226064363912,7.67252339203787,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Sweden,SWE,27.9221777772976,43.2584584604537,45.2711911918356,45.027525416194,42.5268091342415,43.2661612480684,43.7667675162599,42.691478270481,43.734721932138,45.6830615126713,47.0192590143758,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Switzerland,CHE,42.1098165273666,52.1179026206025,65.4655013048958,67.0336106036331,71.9249426179144,64.273711403362,62.2161478694188,65.7442509218987,65.0326631771378,66.1294208591906,66.0335384360306,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Syrian Arab Republic,SYR,28.3391968039116,35.3894830794694,..,..,..,..,..,..,..,..,..,..
