Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Chad,TCD,49.45,84.02,113.97,161.95,146.33,146.9,145.39,155.2,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Chile,CHL,57.57,83.17,112.03,111.36,111.37,111.68,111.84,114.79,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,China,CHN,48.12,83.36,123.39,127.7,129.79,131.86,135.91,139.03,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Colombia,COL,70.21,87.38,106.33,111.81,116.55,116.98,120.3,116.67,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Comoros,COM,77.63,96.6,105.66,101.5,105.78,105.32,107.96,108.68,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,"Congo, Dem. Rep.",COD,117.31,102.03,108.77,109.91,108.54,109.16,109.15,108.46,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,"Congo, Rep.",COG,62.7,83.2,127.1,132.65,132.41,133.56,135.25,138.11,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Costa Rica,CRI,59.28,87.34,117.36,122.03,126.3,129.25,126.09,131.03,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Cote d'Ivoire,CIV,65.99,92.69,114.42,122.07,125.16,130.79,131.65,129.74,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Croatia,HRV,..,78.39,119.39,106.53,120.6,108.97,114.88,128.23,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Cuba,CUB,158.31,123.55,94.57,102.08,106.34,104.32,107.18,109.99,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Cyprus,CYP,99.29,108.85,87.25,81.52,77.71,79.89,80.83,79.14,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Czech Republic,CZE,..,101.66,100.68,92.42,96.37,102.8,98,102.48,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Denmark,DNK,94.74,98.45,105.13,105.62,101.8,104.93,107.03,103.33,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Djibouti,DJI,93.14,84.47,130.97,134.2,133.27,132.85,132.78,133.07,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Dominica,DMA,153.79,118.87,103.6,106.75,106.78,107.18,109.46,110.45,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Dominican Republic,DOM,69.38,84.46,127.75,127.11,136.08,140.49,145.22,147.54,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Ecuador,ECU,56.65,84.52,122.13,117.48,113.08,118.82,121.92,114.35,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,"Egypt, Arab Rep.",EGY,53.66,84.93,111.65,118.75,114.75,120.11,121.08,124.98,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,El Salvador,SLV,75.23,95,103.4,115.48,116.06,115.47,110.49,119.84,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Equatorial Guinea,GNQ,86.41,91.51,111.04,112.84,114.24,115.94,116.63,117.26,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Eritrea,ERI,..,80.06,102.39,104.36,104.12,103.35,102.85,104.59,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Estonia,EST,..,84.51,128.36,128.79,133.23,139.83,157.47,129.45,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Eswatini,SWZ,91.12,86.1,109.03,111.47,113.63,114.03,114.25,113.83,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Ethiopia,ETH,..,69.87,138.58,147.09,150.28,157.56,168.7,161.89,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Faroe Islands,FRO,97.77,100.46,100.34,100.73,101.64,101.82,100.67,100.68,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Fiji,FJI,107.89,100.57,93.08,76.52,85.81,87.72,84.85,83.03,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Finland,FIN,108.55,98.74,97.16,93.03,99.06,101.22,98.22,97.26,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,France,FRA,101.26,103.27,102.59,100.69,100.14,105.07,104.58,96.07,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,French Polynesia,PYF,92.97,88.9,104.57,105.65,99.72,103.8,99.69,101.21,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Gabon,GAB,84.22,97.31,114.12,114.15,118.15,117.31,118.14,119.32,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,"Gambia, The",GMB,52.98,97.99,90.9,108.34,100.36,88.97,101.24,106.73,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Georgia,GEO,..,98.55,78.42,73.57,87.76,74.01,75.55,71.48,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Germany,DEU,108.34,102.12,106.22,106.7,107.32,112.98,109.04,107.92,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Ghana,GHA,37.03,78.74,132.09,139.18,144.05,150.5,151.03,153.14,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Greece,GRC,87.71,104.6,97.43,99.5,86.77,90.36,89.29,95.1,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Greenland,GRL,105.75,87.26,97.87,97.84,97.81,97.78,97.75,97.72,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Grenada,GRD,145.31,132.5,97.66,97.9,98.48,136.94,136.49,128.01,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Guam,GUM,71.77,95.43,96.41,88.64,87.61,88.17,79.27,77.95,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Guatemala,GTM,51.79,74.41,123.74,132.98,142.84,153.4,159.75,161.54,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Guinea,GIN,59.98,85.24,125.42,128.9,133.61,129.83,132.81,135.65,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Guinea-Bissau,GNB,54.47,88.48,126.27,132.76,139.1,136.77,140.22,143.35,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Guyana,GUY,49.95,98.31,115.83,116.16,131.95,125.81,147.3,131.13,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Haiti,HTI,93.36,95.76,141.47,143.36,152.55,158.18,162,157.13,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Honduras,HND,67.09,71.67,112.77,118.27,116.67,118.44,118.79,119.57,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,"Hong Kong SAR, China",HKG,161.04,109.43,56.01,58.11,59.07,58.82,59.04,59.3,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Hungary,HUN,120.91,91.3,87.92,80.47,90.09,98.88,91.89,87.2,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Iceland,ISL,85.7,93.46,111.19,114.93,114.41,115.45,119.8,123.37,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,India,IND,70.13,91.53,130.87,133.81,139.06,142.88,141,144.39,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,Indonesia,IDN,61.88,78.08,126.36,136.08,137.21,140.39,143.84,144.56,..,..,..,..
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,"Iran, Islamic Rep.",IRN,54.53,77.61,102.61,105.9,110.11,113.86,112.41,113.29,..,..,..,..
