Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Peru,PER,56.21,82.79,143.36,150.37,155.08,155.83,157.77,159.04,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Philippines,PHL,48.23,84.17,120.42,122.87,126.45,126.25,126.8,126.91,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Poland,POL,114.75,93.42,104.82,107.08,108.07,108.7,109.79,109.85,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Portugal,PRT,84.23,101.47,103.18,100.89,101.69,103.51,105.51,104.29,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Puerto Rico,PRI,132.95,113.41,109.13,109.73,110.14,110.81,105.93,104.73,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Qatar,QAT,79.27,110.01,167.02,174.11,182.34,183.89,198.6,198.78,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Romania,ROU,118.55,91.8,93.18,90.55,86.99,87.02,86.51,84.73,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Russian Federation,RUS,..,96.65,117.85,120.84,122.26,122.69,123.1,123.49,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Rwanda,RWA,55.21,71.95,131.69,134.38,139.83,132.89,134.66,137.1,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Samoa,WSM,101.7,96.57,99.34,109.04,111.04,111.77,112.52,111.64,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Sao Tome and Principe,STP,40.24,88.87,115.87,121.75,123.8,124.03,117.16,116.51,..,..,..,..
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,Saudi Arabia,SAU,57.13,88.53,123.3,125.45,131.23,131.69,136.9,140.3,..,..,..,..
